Player,Pos,Rank,Team,Projection,Tier
Demond Claiborne,RB,245,MIN,53.93,9
Tua Tagovailoa,QB,246,ATL,96.44,11
Isaiah Davis,RB,250,NYJ,30.68,10
Chris Brooks,RB,255,GB,40.67,9
Najee Harris,RB,258,NYG,39.66,9
Jordan James,RB,259,SF,47.08,9
Samaje Perine,RB,260,CIN,56.96,9
Ty Johnson,RB,264,BUF,52.37,9
LeQuint Allen,RB,266,JAC,27.08,10
Michael Penix,QB,268,ATL,90.42,12
Kirk Cousins,QB,270,LV,48.68,13
Greg Dulcich,TE,271,MIA,81.47,6
Malik Davis,RB,274,DAL,31.59,10
Deshaun Watson,QB,279,CLE,105.24,11
Mason Taylor,TE,280,NYJ,62.48,7
Shedeur Sanders,QB,282,CLE,57.73,13
Theo Johnson,TE,283,NYG,55.55,8
Eli Stowers,TE,296,PHI,39.02,9
Mike Gesicki,TE,305,CIN,65.59,7
Jake Tonges,TE,321,SF,36.48,9
Carson Beck,QB,329,ARI,16.52,14
J.J. McCarthy,QB,333,MIN,18.37,14
Mac Jones,QB,346,SF,10.25,14
Justin Fields,QB,357,KC,10.57,14
Ty Simpson,QB,361,LAR,15.54,14
