Player,Pos,Rank,Team
Brian Thomas,WR,75,JAC
DK Metcalf,WR,76,PIT
Tony Pollard,RB,77,TEN
Dak Prescott,QB,78,DAL
Harold Fannin,TE,79,CLE
Rico Dowdle,RB,80,PIT
Sam LaPorta,TE,81,DET
Chris Godwin,WR,82,TB
Kyle Pitts,TE,83,ATL
Jonathon Brooks,RB,84,CAR
Courtland Sutton,WR,85,DEN
J.K. Dobbins,RB,86,DEN
Michael Pittman,WR,87,PIT
Michael Wilson,WR,88,ARI
Quentin Johnston,WR,89,LAC
Brock Purdy,QB,90,SF
Chuba Hubbard,RB,91,CAR
Blake Corum,RB,92,LAR
George Kittle,TE,93,SF
Josh Downs,WR,94,IND
Alec Pierce,WR,95,IND
Jaxson Dart,QB,96,NYG
RJ Harvey,RB,97,DEN
Jacory Croskey-Merritt,RB,98,WAS
Wan'Dale Robinson,WR,99,TEN
Stefon Diggs,WR,100,WAS
Bo Nix,QB,101,DEN
Patrick Mahomes,QB,102,KC
Travis Kelce,TE,103,KC
Jordan Addison,WR,104,MIN
Kenny Gainwell,RB,105,TB
Jordan Mason,RB,106,MIN
Jayden Reed,WR,107,GB
Matthew Stafford,QB,108,LAR
Kyle Monangai,RB,109,CHI
Jared Goff,QB,110,DET
Jakobi Meyers,WR,111,JAC
Rachaad White,RB,112,WAS
Dalton Kincaid,TE,113,BUF
Makai Lemon,WR,114,PHI
Aaron Jones,RB,115,MIN
Dallas Goedert,TE,116,PHI
Isaiah Likely,TE,117,NYG
Baker Mayfield,QB,118,TB
Kyler Murray,QB,119,MIN
Jordan Love,QB,120,GB
Chris Rodriguez,RB,121,JAX
Mark Andrews,TE,122,BAL
Xavier Worthy,WR,123,KC
Romeo Doubs,WR,124,NE
Matthew Golden,WR,125,GB
Jalen Coker,WR,126,CAR
Tyler Shough,QB,127,NO
Woody Marks,RB,128,HOU
Jake Ferguson,TE,129,DAL
Tyler Allgeier,RB,130,ARI
Khalil Shakir,WR,131,BUF
Jordyn Tyson,WR,132,NO
KC Concepcion,WR,133,CLE
Tyjae Spears,RB,134,TEN
Deebo Samuel,WR,135,SF
Malik Willis,QB,136,MIA
Keaton Mitchell,RB,137,LAC
Juwan Johnson,TE,138,NO
Tank Bigsby,RB,139,PHI
Sam Darnold,QB,140,SEA
Hunter Henry,TE,141,NE
Jonah Coleman,RB,142,DEN
Zach Charbonnet,RB,143,SEA
Rashid Shaheed,WR,144,SEA
De'Zhaun Stribling,WR,145,SF
C.J. Stroud,QB,146,HOU
Dylan Sampson,RB,147,CLE
Brenton Strange,TE,148,JAX
Tyrone Tracy,RB,149,NYG
Isiah Pacheco,RB,150,DET
Alvin Kamara,RB,151,NO
Chig Okonkwo,TE,152,WAS
Dalton Schultz,TE,153,HOU
Cam Ward,QB,154,TEN
Daniel Jones,QB,155,IND
Brian Robinson,RB,156,ATL
Adonai Mitchell,WR,157,NYJ
Denzel Boston,WR,158,CLE
Braelon Allen,RB,159,NYJ
MarShawn Lloyd,RB,160,GB
Tre Tucker,WR,161,LV
Jauan Jennings,WR,162,MIN
Jalen McMillan,WR,163,TB
Jerry Jeudy,WR,164,CLE
Ray Davis,RB,165,BUF
AJ Barner,TE,166,SEA
Tre' Harris,WR,167,LAC
Mike Washington,RB,168,LV
Bryce Young,QB,169,CAR
T.J. Hockenson,TE,170,MIN
Dontayvion Wicks,WR,171,PHI
Terrance Ferguson,TE,172,LAR
Kayshon Boutte,WR,173,HOU
Emmett Johnson,RB,174,KC
Oronde Gadsden,TE,175,LAC
Jalen Nailor,WR,176,LV
Omar Cooper,WR,177,NYJ
Pat Bryant,WR,178,DEN
Ryan Flournoy,WR,179,DAL
Malik Washington,WR,180,MIA
Sean Tucker,RB,181,TB
Jacoby Brissett,QB,182,ARI
Kimani Vidal,RB,183,LAC
Calvin Ridley,WR,184,TEN
Kenyon Sadiq,TE,185,NYJ
Keenan Allen,WR,186,IND
Tank Dell,WR,187,HOU
Nicholas Singleton,RB,188,TEN
Jaylin Noel,WR,189,HOU
Gunnar Helm,TE,190,TEN
Travis Hunter,WR,191,JAX
Houston Texans,DEF,192,HOU
Denver Broncos,DEF,193,DEN
Geno Smith,QB,194,NYJ
Seattle Seahawks,DEF,195,SEA
Los Angeles Rams,DEF,196,LAR
Jaydon Blue,RB,197,DAL
Isaac TeSlaa,WR,198,DET
Rashod Bateman,WR,199,BAL
Cade Otton,TE,200,TB
Pat Freiermuth,TE,201,PIT
Kaytron Allen,RB,202,WAS
Aaron Rodgers,QB,203,PIT
Philadelphia Eagles,DEF,204,PHI
Jacksonville Jaguars,DEF,205,JAC
Emanuel Wilson,RB,206,SEA
New England Patriots,DEF,207,NE
Pittsburgh Steelers,DEF,208,PIT
Brandon Aubrey,K,209,DAL
Los Angeles Chargers,DEF,210,LAC
Minnesota Vikings,DEF,211,MIN
Cameron Dicker,K,212,LAC
James Conner,RB,213,ARI
Darnell Mooney,WR,214,NYG
Ka'imi Fairbairn,K,215,HOU
Cooper Kupp,WR,216,SEA
Cam Little,K,217,JAX
George Holani,RB,218,SEA
Troy Franklin,WR,219,DEN
Baltimore Ravens,DEF,220,BAL
Kansas City Chiefs,DEF,221,KC
Jason Myers,K,222,SEA
Jaylen Wright,RB,223,MIA
Tyler Loop,K,224,BAL
David Njoku,TE,225,LAC
Eddy Pineiro,K,226,SF
Jake Bates,K,227,DET
Green Bay Packers,DEF,228,GB
